num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,733747.2,19566.596,1423.2,0.7772802,3.6,0.00948514,7.4,2500.0,201.9176,298.9454
2,1309228.8,34912.783,2540.0,0.69360995,4.05,0.010667901,11.0,2500.0,175.3236,297.9708
3,2017008.0,53786.87,3909.5,0.711724,4.216666,0.010891026,15.9,2500.0,154.416,295.8483
4,2509096.0,66909.23,4863.0,0.6639815,4.371429,0.011148902,12.5,2500.0,140.45277,294.2304
5,3175784.8,84687.66,6146.4,0.6713708,4.204444,0.010666753,22.9,2500.0,128.01061,292.0415
6,3710498.4,98946.65,7173.0,0.6529219,4.216666,0.010591898,51.8,2500.0,115.27817,289.648
7,4131372.0,110169.94,7982.6,0.6228135,4.188095,0.010561347,52.0,2500.0,108.6259,288.2224
8,4743157.6,126484.26,9149.8,0.6246451,4.059135,0.010183698,49.0,2500.0,104.14137,286.942
9,5280719.2,140819.11,10190.8,0.6184114,3.987777,0.009961193,62.1,2500.0,98.30082,285.171
10,5900183.2,157338.2,11362.4,0.620557,4.004412,0.010103004,101.0,2500.0,92.20389,282.8792
11,6398242.0,170619.825,12339.125,0.612637375,4.05681875,0.01049485875,116.125,2500.0,85.2108625,280.31925
12,6662972.0,177679.19,12820.2,0.583479,4.17254,0.01046091,113.7,2500.0,83.91453,279.7367
13,6971532.8,185907.56,13412.1,0.5634627,4.218845,0.010496871,130.9,2500.0,81.47091,278.9458
14,7381562.4,196841.66,14204.7,0.554135,4.112435,0.010111515,134.5,2500.0,78.80083,277.9141
15,8098390.4,215956.9,15571.6,0.5669616,4.119326,0.010357022,143.7,2500.0,76.2095,275.9365
16,8296048.0,221227.9,15960.4,0.5447978,4.167238,0.010596203,153.0,2500.0,74.2084,275.3089
17,8893133.6,237150.1,17077.8,0.5486493,4.181556,0.010740634,179.5,2500.0,69.1329,273.7875
18,9662900.44444,257677.444444,18568.7777778,0.563407333333,4.17955888889,0.0107140666667,189.111111111,2500.0,65.1970777778,273.161222222
19,9534921.6,254264.7,18312.9,0.5263992,4.181384,0.010640577,171.0,2500.0,67.98175,273.2232
20,9857195.2,262858.5,18947.1,0.5173975,4.109334,0.010328967,182.4,2500.0,62.87262,272.5349
21,10084700.0,268925.3,19394.1,0.5043849,4.115663,0.010391206,216.1,2500.0,61.51002,271.6119
22,10799949.6,287998.8,20716.8,0.5142941,4.089418,0.010316362,234.8,2500.0,57.93251,270.0559
23,11153678.4,297431.5,21412.0,0.5084416,4.101387,0.010035995,262.9,2500.0,56.10251,269.7896
24,11847020.8,315920.6,22736.9,0.5174062,4.156773,0.010336346,266.4,2500.0,52.99661,267.8718
